Genes	NATMI	CelltalkDB	Merge_Index
A2M	L	L	L
AANAT	L	L	L
ACE	L	L	L
ADAM10	L	L	L
ADAM11	LR	NA	LR
ADAM12	L	L	L
ADAM15	L	L	L
ADAM17	L	L	L
ADAM2	L	L	L
ADAM23	LR	NA	LR
ADAM28	L	L	L
ADAM29	L	NA	L
ADAM7	L	NA	L
ADAM9	L	L	L
ADCYAP1	L	L	L
ADGRB1	L	NA	L
ADGRE5	LR	R	LR
ADIPOQ	L	L	L
ADM	L	L	L
ADM2	L	L	L
AFDN	L	L	L
AGRN	L	L	L
AGRP	L	L	L
AGT	L	L	L
AHSG	L	L	L
ALB	L	L	L
ALCAM	LR	R	LR
ALKAL1	L	L	L
ALKAL2	L	L	L
AMBN	L	NA	L
AMELX	L	L	L
AMELY	L	NA	L
AMH	L	L	L
ANG	L	L	L
ANGPT1	L	L	L
ANGPT2	L	L	L
ANGPT4	L	L	L
ANGPTL1	L	L	L
ANGPTL2	L	L	L
ANGPTL3	L	L	L
ANOS1	L	L	L
ANPEP	L	NA	L
ANXA1	L	L	L
ANXA2	L	NA	L
APELA	L	L	L
APLN	L	L	L
APOB	L	L	L
APOD	L	L	L
APOE	L	L	L
APP	LR	L	LR
AREG	L	L	L
ARF1	L	L	L
ARTN	L	L	L
ASIP	L	L	L
AVP	L	L	L
AZGP1	L	L	L
B2M	L	L	L
BAG6	L	NA	L
BDNF	L	L	L
BGN	L	L	L
BMP10	L	L	L
BMP15	L	L	L
BMP2	L	L	L
BMP3	L	L	L
BMP4	L	L	L
BMP5	L	L	L
BMP6	L	L	L
BMP7	L	L	L
BMP8A	L	L	L
BSG	L	L	L
BST2	L	L	L
BTC	L	L	L
BTLA	LR	L	LR
C1QA	L	L	L
C1QB	L	L	L
C1QTNF1	L	L	L
C3	L	L	L
C4A	L	L	L
C4B	L	L	L
C4BPA	L	L	L
C5	L	L	L
CADM1	LR	R	LR
CADM3	LR	NA	LR
CALCA	L	L	L
CALCB	L	L	L
CALR	L	L	L
CAMP	L	L	L
CCK	L	L	L
CCL1	L	L	L
CCL11	L	L	L
CCL13	L	L	L
CCL14	L	L	L
CCL15	L	L	L
CCL16	L	L	L
CCL17	L	L	L
CCL18	L	L	L
CCL19	L	L	L
CCL2	L	L	L
CCL20	L	L	L
CCL21	L	L	L
CCL22	L	L	L
CCL23	L	L	L
CCL24	L	L	L
CCL25	L	L	L
CCL26	L	L	L
CCL27	L	L	L
CCL28	L	L	L
CCL3	L	L	L
CCL3L1	L	NA	L
CCL3L3	L	L	L
CCL4	L	L	L
CCL4L1	L	NA	L
CCL5	L	L	L
CCL7	L	L	L
CCL8	L	L	L
CCN1	L	L	L
CCN2	L	L	L
CCN3	L	L	L
CCN4	L	NA	L
CD14	L	L	L
CD160	LR	L	LR
CD177	L	NA	L
CD1D	LR	R	LR
CD2	LR	R	LR
CD200	LR	L	LR
CD200R1	LR	R	LR
CD209	LR	R	LR
CD22	LR	R	LR
CD226	LR	NA	LR
CD24	L	L	L
CD244	LR	NA	LR
CD274	LR	L	LR
CD28	LR	R	LR
CD34	L	L	L
CD38	LR	NA	LR
CD40LG	L	L	L
CD44	LR	R	LR
CD47	LR	R	LR
CD48	LR	R	LR
CD52	L	NA	L
CD55	LR	L	LR
CD58	L	L	L
CD59	L	L	L
CD5L	L	L	L
CD6	LR	L	LR
CD70	L	L	L
CD80	LR	R	LR
CD84	LR	NA	LR
CD86	LR	L	LR
CD9	LR	R	LR
CD96	LR	NA	LR
CD99	L	L	L
CDH1	L	L	L
CEACAM1	LR	L	LR
CEACAM5	L	L	L
CEACAM6	L	L	L
CEACAM8	LR	NA	LR
CEL	L	L	L
CFH	L	L	L
CFP	L	NA	L
CGA	L	L	L
CGB3	L	L	L
CGN	L	L	L
CHAD	L	L	L
CIRBP	L	NA	L
CLCF1	L	L	L
CLEC11A	L	NA	L
CLEC2A	L	L	L
CLEC2B	LR	L	LR
CLEC2D	LR	L	LR
CLEC4G	L	NA	L
CNTF	L	L	L
CNTN1	LR	R	LR
CNTN2	L	L	L
CNTN4	L	L	L
CNTN6	L	NA	L
COL11A1	L	L	L
COL14A1	L	L	L
COL18A1	L	L	L
COL1A1	L	L	L
COL1A2	L	L	L
COL2A1	L	L	L
COL3A1	L	L	L
COL4A1	L	L	L
COL4A2	L	L	L
COL4A3	L	L	L
COL4A5	L	L	L
COL4A6	L	L	L
COL5A1	L	L	L
COL5A2	L	L	L
COL5A3	L	NA	L
COL8A1	L	L	L
COL9A1	L	L	L
COL9A2	L	L	L
COL9A3	L	L	L
COLQ	L	L	L
COMP	L	L	L
CORT	L	L	L
CP	L	L	L
CPAMD8	L	L	L
CRH	L	L	L
CRLF1	LR	R	LR
CRP	L	L	L
CRTAM	LR	NA	LR
CSF1	L	L	L
CSF2	L	L	L
CSF3	L	L	L
CSH1	L	L	L
CTF1	L	L	L
CTHRC1	L	L	L
CX3CL1	L	L	L
CXADR	LR	NA	LR
CXCL1	L	L	L
CXCL10	L	L	L
CXCL11	L	L	L
CXCL12	L	L	L
CXCL13	L	L	L
CXCL14	L	L	L
CXCL16	L	L	L
CXCL17	L	L	L
CXCL2	L	L	L
CXCL3	L	L	L
CXCL5	L	L	L
CXCL6	L	L	L
CXCL8	L	L	L
CXCL9	L	L	L
CYTL1	L	NA	L
DAG1	LR	NA	LR
DCN	L	L	L
DEFB1	L	L	L
DEFB103A	L	L	L
DEFB103B	L	L	L
DEFB106A	L	L	L
DEFB4A	L	L	L
DEFB4B	L	L	L
DHH	L	L	L
DKK1	L	L	L
DKK2	L	L	L
DKK4	L	L	L
DLK1	L	L	L
DLK2	L	L	L
DLL1	L	L	L
DLL3	L	L	L
DLL4	L	L	L
DNAJB11	L	NA	L
DSC1	LR	L	LR
DSC2	L	L	L
DSC3	LR	L	LR
DSG1	LR	R	LR
DSG2	LR	R	LR
DSPP	L	L	L
EBI3	L	L	L
ECM1	L	NA	L
EDA	L	L	L
EDIL3	L	L	L
EDN1	L	L	L
EDN2	L	L	L
EDN3	L	L	L
EFEMP1	L	L	L
EFNA1	L	L	L
EFNA2	L	L	L
EFNA3	L	L	L
EFNA4	L	L	L
EFNA5	L	L	L
EFNB1	LR	L	LR
EFNB2	L	L	L
EFNB3	L	L	L
EGF	L	L	L
ENAM	L	NA	L
ENHO	L	NA	L
EPCAM	LR	NA	LR
EPGN	L	L	L
EPHA4	LR	R	LR
EPO	L	L	L
EREG	L	L	L
F10	L	L	L
F11	L	L	L
F11R	LR	R	LR
F12	L	L	L
F13A1	L	L	L
F2	L	L	L
F7	L	L	L
F8	L	L	L
F9	L	L	L
FAM3C	L	L	L
FAM3D	L	NA	L
FASLG	L	L	L
FAT4	L	L	L
FBLN1	L	L	L
