from	to	source	database	from_index	to_index
CXCL1	CXCR2	kegg_cytokines	kegg	L	R
CXCL2	CXCR2	kegg_cytokines	kegg	L	R
CXCL3	CXCR2	kegg_cytokines	kegg	L	R
CXCL5	CXCR2	kegg_cytokines	kegg	L	R
PPBP	CXCR2	kegg_cytokines	kegg	L	R
CXCL6	CXCR2	kegg_cytokines	kegg	L	R
CXCL8	CXCR2	kegg_cytokines	kegg	L	R
CXCL6	CXCR1	kegg_cytokines	kegg	L	R
CXCL8	CXCR1	kegg_cytokines	kegg	L	R
CXCL9	CXCR3	kegg_cytokines	kegg	L	R
CXCL10	CXCR3	kegg_cytokines	kegg	L	R
CXCL11	CXCR3	kegg_cytokines	kegg	L	R
CXCL12	CXCR4	kegg_cytokines	kegg	L	R
CXCL13	CXCR5	kegg_cytokines	kegg	L	R
CXCL16	CXCR6	kegg_cytokines	kegg	L	R
XCL1	XCR1	kegg_cytokines	kegg	L	R
XCL2	XCR1	kegg_cytokines	kegg	L	R
CX3CL1	CX3CR1	kegg_cytokines	kegg	L	R
CCL20	CCR6	kegg_cytokines	kegg	L	R
CCL25	CCR9	kegg_cytokines	kegg	L	R
CCL17	CCR4	kegg_cytokines	kegg	L	R
CCL22	CCR4	kegg_cytokines	kegg	L	R
CCL19	CCR7	kegg_cytokines	kegg	L	R
CCL21	CCR7	kegg_cytokines	kegg	L	R
CCL2	CCR2	kegg_cytokines	kegg	L	R
CCL4L1	CCR5	kegg_cytokines	kegg	L	R
CCL3L3	CCR5	kegg_cytokines	kegg	L	R
CCL13	CCR2	kegg_cytokines	kegg	L	R
CCL13	CCR3	kegg_cytokines	kegg	L	R
CCL7	CCR2	kegg_cytokines	kegg	L	R
CCL7	CCR1	kegg_cytokines	kegg	L	R
CCL5	CCR5	kegg_cytokines	kegg	L	R
CCL5	CCR1	kegg_cytokines	kegg	L	R
CCL5	CCR3	kegg_cytokines	kegg	L	R
CCL14	CCR1	kegg_cytokines	kegg	L	R
CCL16	CCR1	kegg_cytokines	kegg	L	R
CCL23	CCR1	kegg_cytokines	kegg	L	R
CCL15	CCR1	kegg_cytokines	kegg	L	R
CCL15	CCR3	kegg_cytokines	kegg	L	R
CCL8	CCR3	kegg_cytokines	kegg	L	R
CCL11	CCR3	kegg_cytokines	kegg	L	R
CCL24	CCR3	kegg_cytokines	kegg	L	R
CCL26	CCR3	kegg_cytokines	kegg	L	R
CCL28	CCR3	kegg_cytokines	kegg	L	R
CCL28	CCR10	kegg_cytokines	kegg	L	R
CCL27	CCR10	kegg_cytokines	kegg	L	R
IL6	IL6ST	kegg_cytokines	kegg	L	R
IL6	IL6R	kegg_cytokines	kegg	L	R
IL11	IL11RA	kegg_cytokines	kegg	L	R
IL11	IL6ST	kegg_cytokines	kegg	L	R
OSM	LIFR	kegg_cytokines	kegg	L	R
OSM	IL6ST	kegg_cytokines	kegg	L	R
OSM	OSMR	kegg_cytokines	kegg	L	R
LIF	LIFR	kegg_cytokines	kegg	L	R
LIF	IL6ST	kegg_cytokines	kegg	L	R
CNTF	CNTFR	kegg_cytokines	kegg	L	R
CNTF	LIFR	kegg_cytokines	kegg	L	R
CNTF	IL6ST	kegg_cytokines	kegg	L	R
CLCF1	CNTFR	kegg_cytokines	kegg	L	R
CLCF1	LIFR	kegg_cytokines	kegg	L	R
CLCF1	IL6ST	kegg_cytokines	kegg	L	R
CTF1	LIFR	kegg_cytokines	kegg	L	R
CTF1	IL6ST	kegg_cytokines	kegg	L	R
CSF3	CSF3R	kegg_cytokines	kegg	L	R
LEP	LEPR	kegg_cytokines	kegg	L	R
IL4	IL13RA1	kegg_cytokines	kegg	L	R
IL4	IL4R	kegg_cytokines	kegg	L	R
IL13	IL13RA1	kegg_cytokines	kegg	L	R
IL13	IL4R	kegg_cytokines	kegg	L	R
IL12A	IL12RB2	kegg_cytokines	kegg	L	R
IL12A	IL12RB1	kegg_cytokines	kegg	L	R
IL23A	IL12RB1	kegg_cytokines	kegg	L	R
IL23A	IL23R	kegg_cytokines	kegg	L	R
CSF2	CSF2RB	kegg_cytokines	kegg	L	R
CSF2	CSF2RA	kegg_cytokines	kegg	L	R
IL3	IL3RA	kegg_cytokines	kegg	L	R
IL3	CSF2RB	kegg_cytokines	kegg	L	R
IL5	IL5RA	kegg_cytokines	kegg	L	R
IL5	CSF2RB	kegg_cytokines	kegg	L	R
IL2	IL2RG	kegg_cytokines	kegg	L	R
IL2	IL2RB	kegg_cytokines	kegg	L	R
IL2	IL2RA	kegg_cytokines	kegg	L	R
IL4	IL2RG	kegg_cytokines	kegg	L	R
IL7	IL7R	kegg_cytokines	kegg	L	R
IL7	IL2RG	kegg_cytokines	kegg	L	R
IL9	IL9R	kegg_cytokines	kegg	L	R
IL9	IL2RG	kegg_cytokines	kegg	L	R
IL15	IL2RG	kegg_cytokines	kegg	L	R
IL15	IL15RA	kegg_cytokines	kegg	L	R
IL15	IL2RB	kegg_cytokines	kegg	L	R
IL21	IL2RG	kegg_cytokines	kegg	L	R
IL21	IL21R	kegg_cytokines	kegg	L	R
TSLP	CRLF2	kegg_cytokines	kegg	L	R
TSLP	IL7R	kegg_cytokines	kegg	L	R
EPO	EPOR	kegg_cytokines	kegg	L	R
GH1	GHR	kegg_cytokines	kegg	L	R
GH2	GHR	kegg_cytokines	kegg	L	R
PRL	PRLR	kegg_cytokines	kegg	L	R
THPO	MPL	kegg_cytokines	kegg	L	R
PDGFC	PDGFRA	kegg_cytokines	kegg	L	R
PDGFA	PDGFRA	kegg_cytokines	kegg	L	R
PDGFA	PDGFRB	kegg_cytokines	kegg	L	R
PDGFB	PDGFRA	kegg_cytokines	kegg	L	R
PDGFB	PDGFRB	kegg_cytokines	kegg	L	R
VEGFB	FLT1	kegg_cytokines	kegg	L	R
VEGFA	FLT1	kegg_cytokines	kegg	L	R
VEGFA	KDR	kegg_cytokines	kegg	L	R
VEGFD	KDR	kegg_cytokines	kegg	L	R
VEGFD	FLT4	kegg_cytokines	kegg	L	R
HGF	MET	kegg_cytokines	kegg	L	R
EGF	EGFR	kegg_cytokines	kegg	L	R
CSF1	CSF1R	kegg_cytokines	kegg	L	R
KITLG	KIT	kegg_cytokines	kegg	L	R
FLT3LG	FLT3	kegg_cytokines	kegg	L	R
IFNA1	IFNAR2	kegg_cytokines	kegg	L	R
IFNA1	IFNAR1	kegg_cytokines	kegg	L	R
IFNB1	IFNAR2	kegg_cytokines	kegg	L	R
IFNB1	IFNAR1	kegg_cytokines	kegg	L	R
IFNW1	IFNAR2	kegg_cytokines	kegg	L	R
IFNW1	IFNAR1	kegg_cytokines	kegg	L	R
IFNK	IFNAR2	kegg_cytokines	kegg	L	R
IFNK	IFNAR1	kegg_cytokines	kegg	L	R
IFNE	IFNAR2	kegg_cytokines	kegg	L	R
IFNE	IFNAR1	kegg_cytokines	kegg	L	R
IFNG	IFNGR2	kegg_cytokines	kegg	L	R
IFNG	IFNGR1	kegg_cytokines	kegg	L	R
IL10	IL10RB	kegg_cytokines	kegg	L	R
IL10	IL10RA	kegg_cytokines	kegg	L	R
IL19	IL20RA	kegg_cytokines	kegg	L	R
IL20	IL20RA	kegg_cytokines	kegg	L	R
